[22:46:26] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:46:26] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:46:26] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:46:26] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:46:26] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:46:27] [Server thread/INFO]: Starting minecraft server version 1.15.2
[22:46:28] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[22:46:27] [Server console handler/ERROR]: Exception handling console input
java.io.IOException: The handle is invalid
	at java.io.FileInputStream.readBytes(Native Method) ~[?:1.8.0_181]
	at java.io.FileInputStream.read(Unknown Source) ~[?:1.8.0_181]
	at java.io.BufferedInputStream.read1(Unknown Source) ~[?:1.8.0_181]
	at java.io.BufferedInputStream.read(Unknown Source) ~[?:1.8.0_181]
	at sun.nio.cs.StreamDecoder.readBytes(Unknown Source) ~[?:1.8.0_181]
	at sun.nio.cs.StreamDecoder.implRead(Unknown Source) ~[?:1.8.0_181]
	at sun.nio.cs.StreamDecoder.read(Unknown Source) ~[?:1.8.0_181]
	at java.io.InputStreamReader.read(Unknown Source) ~[?:1.8.0_181]
	at java.io.BufferedReader.fill(Unknown Source) ~[?:1.8.0_181]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_181]
	at java.io.BufferedReader.readLine(Unknown Source) ~[?:1.8.0_181]
	at wd$2.run(SourceFile:110) [server.jar:?]
[22:46:28] [Server thread/INFO]: Loading properties
[22:46:28] [Server thread/INFO]: Default game type: SURVIVAL
[22:46:28] [Server thread/INFO]: Generating keypair
[22:46:28] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:46:28] [Server thread/INFO]: Using default channel type
[22:46:29] [Server thread/INFO]: Preparing level "world"
[22:48:06] [Server-Worker-3/INFO]: Preparing spawn area: 82%
[22:48:06] [Server-Worker-3/INFO]: Preparing spawn area: 82%
[22:48:06] [Server-Worker-3/INFO]: Preparing spawn area: 82%
[22:48:09] [Server-Worker-2/INFO]: Preparing spawn area: 85%
[22:48:09] [Server-Worker-1/INFO]: Preparing spawn area: 85%
[22:48:09] [Server-Worker-2/INFO]: Preparing spawn area: 85%
[22:48:09] [Server-Worker-2/INFO]: Preparing spawn area: 85%
[22:48:09] [Server-Worker-2/INFO]: Preparing spawn area: 85%
[22:48:09] [Server-Worker-3/INFO]: Preparing spawn area: 88%
[22:48:10] [Server-Worker-2/INFO]: Preparing spawn area: 88%
[22:48:10] [Server-Worker-2/INFO]: Preparing spawn area: 88%
[22:48:10] [Server-Worker-3/INFO]: Preparing spawn area: 89%
[22:48:11] [Server-Worker-3/INFO]: Preparing spawn area: 90%
[22:48:12] [Server-Worker-2/INFO]: Preparing spawn area: 91%
[22:48:12] [Server-Worker-3/INFO]: Preparing spawn area: 91%
[22:48:13] [Server-Worker-2/INFO]: Preparing spawn area: 92%
[22:48:13] [Server-Worker-2/INFO]: Preparing spawn area: 93%
[22:48:14] [Server-Worker-1/INFO]: Preparing spawn area: 94%
[22:48:14] [Server-Worker-3/INFO]: Preparing spawn area: 94%
[22:48:16] [Server-Worker-1/INFO]: Preparing spawn area: 95%
[22:48:16] [Server-Worker-1/INFO]: Preparing spawn area: 95%
[22:48:16] [Server-Worker-1/INFO]: Preparing spawn area: 95%
[22:48:16] [Server thread/INFO]: Time elapsed: 62995 ms
[22:48:16] [Server thread/INFO]: Done (106.632s)! For help, type "help"
[22:48:17] [Server thread/INFO]: Stopping the server
[22:48:17] [Server thread/INFO]: Stopping the server
[22:48:17] [Server thread/INFO]: Unknown command
[22:48:17] [Server thread/INFO]: exit<--[HERE]
[22:48:17] [Server thread/INFO]: Stopping server
[22:48:17] [Server thread/INFO]: Saving players
[22:48:17] [Server thread/INFO]: Saving worlds
[22:48:17] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:the_end
[22:48:17] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[22:48:17] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:the_nether
[22:48:17] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[22:48:17] [Server thread/INFO]: Saving chunks for level 'world'/minecraft:overworld
[22:48:21] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[22:48:21] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[22:48:21] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[22:48:21] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
